date,open,high,low,close,volume
2007-09-17,4.3386,4.3565,4.2887,4.3351,89690000
2007-09-18,4.3585,4.569,4.3251,4.4268,178488000
2007-09-19,4.4652,4.4802,4.4024,4.4393,129174000
2007-09-20,4.4343,4.5099,4.4303,4.4717,115616000
2007-09-21,4.5037,4.584,4.4717,4.554,130490000
2007-09-24,4.5535,4.6762,4.5296,4.6184,106436000
2007-09-25,4.5884,4.6638,4.5366,4.6628,116006000
2007-09-26,4.6907,4.7017,4.6034,4.6603,115406000
2007-09-27,4.6922,4.6942,4.6441,4.6578,56254000
2007-09-28,4.6274,4.6688,4.574,4.6463,96274000
2007-10-01,4.6598,4.6937,4.6303,4.6593,107948000
2007-10-02,4.682,4.6837,4.559,4.6069,97344000
2007-10-03,4.5984,4.6289,4.578,4.6116,101044000
2007-10-04,4.6164,4.6174,4.5615,4.6019,66366000
2007-10-05,4.6663,4.6742,4.6059,4.6603,110470000
2007-10-08,4.6997,4.781,4.6887,4.781,148568000
2007-10-09,4.8179,4.8249,4.7261,4.7547,142892000
2007-10-10,4.7635,4.7759,4.7072,4.7216,111356000
2007-10-11,4.755,4.7755,4.3959,4.4563,196448000
2007-10-12,4.4603,4.6084,4.4353,4.6074,167198000
2007-10-15,4.579,4.5949,4.4942,4.5156,112176000
2007-10-16,4.4238,4.4917,4.4144,4.4657,170230000
2007-10-17,4.584,4.584,4.4423,4.5166,153574000
2007-10-18,4.4578,4.5106,4.4468,4.4817,106590000
2007-10-19,4.4857,4.5216,4.4553,4.4772,182524000
2007-10-22,4.4518,4.5735,4.4403,4.5535,197368000
2007-10-23,4.7526,5.0424,4.6992,5.0289,835236000
2007-10-24,4.5326,4.5331,4.1535,4.4258,832348000
2007-10-25,4.4009,4.4642,4.3056,4.3999,232618000
2007-10-26,4.4393,4.5331,4.3745,4.4892,176524000
2007-10-29,4.5096,4.5625,4.4633,4.4942,141944000
2007-10-30,4.4727,4.5216,4.3919,4.4014,108108000
2007-10-31,4.3919,4.4692,4.3395,4.4468,140896000
2007-11-01,4.377,4.4682,4.3146,4.372,165314000
2007-11-02,4.3894,4.3954,4.165,4.2887,204610000
2007-11-05,4.2313,4.2907,4.1281,4.2084,149062000
2007-11-06,4.2198,4.3645,4.2084,4.353,158680000
2007-11-07,4.3101,4.4473,4.2976,4.3417,167956000
2007-11-08,4.3296,4.3376,4.0602,4.169,236064000
2007-11-09,4.1111,4.1111,3.9325,3.935,232404000
2007-11-12,3.9036,3.9949,3.8158,3.8407,187938000
